Reference		HB A551 pup2	HB A425 pup1	HB A424 pup 2	HB A554 pup 1	HB A554 pup 2	HB A424 pup 1	HB A424 pup 2	HB A550 pup 1	HB A550 pup 2	HB A550 pup 3	HB A197 pup 1	HB A403	HB A406	HB A422	HB A306	HB A307	HB A308	HB A608	HB A609	HB A610	HB A611	HB A612	HB A305	HB A804	HB A234	HB A197	HB A493	HB A494	HB A495	HB A287	HB A283	HB A284	HB A285	HB A647	HB A286	HB A635	HB A405	HB A615	HB A372	HB A373	HB A552	HB A555	HB A125	HB B102	HB B105	HB A806	HB B076	HB B093	HB B461	HB B463	HB B112	HB B119	HB B123	HB B068	HB B462	HB B094
Oocyte HB heteroplasmy (%)		49.29220945	42.14272066	18.60348489	60.45716579		28.86643241	53.1550772	21.27430755	27.64580579	3.037384901	44.45884	54.91518111	32.63543093	27.8324895	25.9542866	37.17825547	22.30163737	21.2585265	40.61380932	21.12632182	26.21428485	28.58016228	14.09447143	46.77491214	70.2197947	20.79737864	74.75600695	59.26748309	60.69386063	10.21112864	11.73262668	12.26425995	8.0680945	13.83215994	40.48906856	46.27542171		36.71937998	57.2696006	44.02282563				98.10781172	95.74467593	58.12363342	71.39394128	90.15956093	89.12102547	98.11272311	99.78659021	95.74549166	94.20828905	72.12304928	94.85426794	96.42687708
Oocyte HB heteroplasmy (%)		50.33681397	42.57747571	19.65386217			29.13936379	53.20608608	21.82493126	27.76604176	3.277668839	46.26035802	55.3400153	33.07801137	28.92042291	26.11735312	38.50514938	22.65841257	21.77885186	41.95780755	23.76617619	27.57977337	31.89437089	14.83427544	46.97913199	71.94220951	21.84141042	76.86284041	59.80067278	61.33412051	11.20687268	11.89031939	14.42973748	9.139046045	17.23402277	41.85521029	47.5060246		36.76470167	57.84309913	46.08467955				98.42906941	96.05594761	63.85381139	72.26823407	91.81535955	89.67624316	99.10150447	99.78762784	96.06447636	95.11529141	73.22485153	94.89580359	96.73485473
Oocyte HB heteroplasmy (%)		50.5445781	42.66192032	20.79080118			29.73447454	53.46649879	23.77361255	28.17466533	3.326950692	46.62982918	55.69044915	33.13930673	29.42110511	26.89074002	41.7092692	24.53893392	22.28449158	45.78323294	24.74885066	28.50950086	33.39114155	14.93161661	47.66238597	76.5795113	22.94889489	79.83648907	62.43508574	64.36331575	14.60777416	14.43123892	15.71746044	10.66071341	17.78073906	42.38620986	48.06100305		40.16250673	58.64818438	46.49374302				98.43636944	96.16368252	73.90687844	72.59527698	92.72222078	90.42842078	99.52285777	99.80520561	97.40954808	95.39444246	75.10027424	95.31872101	98.10071567
Oocyte HB heteroplasmy (%)		50.56337164	42.69665776	25.67948564			29.88493993	53.89331554	24.20852253	30.00722677	3.45243343	47.01496542	57.1942332	34.50354184	30.11792025	27.73227354	45.31969361	24.59975001	22.516232	46.33327138	25.9472436	28.69181382	33.39739525	16.0652857	49.03236393	77.31885474	23.48929522	82.08304893	67.48903832	66.17600423	15.2744986	15.49342068	18.55018907	10.85555215	22.3448689	44.53424628	48.55492372		40.93928763	59.00561561	47.63425912				98.505205	96.55788059	75.85473483	72.59840078	95.68084155	90.83291098	99.57256375		97.66585543	95.83350504	78.82973458	97.3057608	98.81153701
Oocyte HB heteroplasmy (%)		50.77381296	42.86487304	25.69584244			30.06182769	54.17210636	26.48205199	36.70560162	3.463936509	49.10057534	57.49535954	38.38359158	30.87986594	28.239917	48.15584287	26.04023441	24.04334345	47.12119569	27.67459764	29.15840126	34.59591178	16.22226409	50.13876246	79.01894714	25.09475861	87.15194667	76.31398602	66.9532827	17.18917891	16.9740661	19.57134427	11.62945988	22.73387466	45.63715461	48.79918129		42.40903136	60.40192686	52.57342497				99.85159633		77.51871388	73.70025347	95.69101286	93.43323449	99.76046755		99.39166425	96.89572388	80.3574595	97.48247536	98.86791541
Oocyte HB heteroplasmy (%)		51.23790452	43.7735545	26.4001005			30.65913638	55.2064641	26.546748		3.667285936	49.76700712	59.93288813	40.50267317	34.76549138	28.29259739	48.24698281	26.19096447	24.41101648	47.43987315	31.56983903	34.60275917	35.18927472	16.23319248	50.55953249	86.45301641	25.89290478	88.62686296	76.32534032	70.81914671	18.20946348	24.14753883	19.70704545	12.58291581	22.99824275	45.80178124	49.6872945		64.36721713	67.32092997	56.37688545						82.28807453	75.46556727	96.47227008	93.76747031	99.77673995		99.85807191	98.33495596	86.85607374		99.29744393
Oocyte HB heteroplasmy (%)		53.65168619	44.47582363	28.25714556			31.33970354	55.98099933	26.76446479		3.789665969	50.10464357	61.07871814	42.18574647	35.1698126	29.0963843	50.06512726	26.33992598	24.61061237	49.51835488	31.62940526	37.27177237	36.3712262	16.7459054	51.84534062	89.42917624	29.40171403	88.95907507	77.11470561	75.69513173	18.39483918	25.78050869	22.55246215	15.32741608	38.22040483	52.2995571	49.83646052			77.61384623									96.83452866	94.05139972							99.3933304
Oocyte HB heteroplasmy (%)		54.4740302	44.65245718	35.61509637			31.67927522	56.19723084	32.13185942		3.801581639	51.80704269	64.75591812	43.86824532	39.40309688	29.25106265		26.49040412	29.0819069	50.91005217	36.59438261	43.18095139	37.62829561	17.39795042	53.44418211		30.1129922		86.23095278		18.89742338	27.41202427	27.05911846		47.40704856	65.75161229	50.08001732			93.60300145																	99.81092799
Oocyte HB heteroplasmy (%)		54.95864986	44.83731247	39.32478782			32.58481616	57.14144472			3.952101397	52.96526287	69.86806101			30.63895142		29.08189716				43.94999737		17.45878226	54.61061066		30.40265767				19.38249882		30.17241272			70.42039546	50.4922085																				
Oocyte HB heteroplasmy (%)		56.18575516	45.94481336				32.96669734	57.26462734			3.986747678	54.3132417	74.14647475			30.97600897		29.63526703						17.67127064	54.91264233		31.36424962				21.06733873		34.09704917				50.5817688																				
Oocyte HB heteroplasmy (%)		56.63473226	46.9986465				33.35188392	59.82580724			4.908710358	55.66776414	76.10258872			31.12503474		30.00640622						19.16982826	55.119063		35.72759697				21.32752712						50.88505774																				
Oocyte HB heteroplasmy (%)		59.02500632	47.60886255				33.57057108	59.95899691			5.486286187	55.68919354	76.47901852			31.2267229		32.7438508						19.51572055	58.29960784		37.60546479				23.83221184						51.37941631																				
Oocyte HB heteroplasmy (%)		61.95700841	48.71579057				34.65656066	60.13059455			5.818664253	66.19187674				32.02528162		36.5287993						20.19277881	58.81233753		50.74777516				34.15735621						53.46514173																				
Oocyte HB heteroplasmy (%)			48.74375311				34.94278133	61.25150226			5.92479851					33.10074264		40.08039152						25.36897152	61.62690414		51.79460486				39.41135414						54.1466656																				
Oocyte HB heteroplasmy (%)			48.80383812				35.30539836	61.30272216			5.958539068					37.36905435									66.8646189									0.052734921			54.93414583																				
Oocyte HB heteroplasmy (%)			48.92622881				35.7752117	62.06028095			6.071172639					38.71890323																		0.197687453			55.42746708																				
Oocyte HB heteroplasmy (%)			49.12672801				41.18521248	65.57330951			6.652035528					39.27947373																		1.298664591			57.07584704																				
Oocyte HB heteroplasmy (%)			49.70387275				48.48155026	67.05106854			7.899313114					39.37190912																		2.098244825			57.66738927																				
Oocyte HB heteroplasmy (%)								68.34030966			8.215609481					42.58560009																		3.640654797			57.93036717																				
Oocyte HB heteroplasmy (%)								69.20779765			8.291438033					42.64870841																		3.916625848			58.54941637																				
Oocyte HB heteroplasmy (%)								69.39780863			8.473311099					43.2666594																		3.95479281			59.13418839																				
Oocyte HB heteroplasmy (%)								70.12196836			8.754908303					50.22161362																		4.570413033			61.04006735																				
Oocyte HB heteroplasmy (%)											11.63916953																							5.496237849			61.90862607																				
Oocyte HB heteroplasmy (%)											16.5560629																							7.077800465			62.1765086																				
Oocyte HB heteroplasmy (%)																																		7.284267536			63.0786868																				
Oocyte HB heteroplasmy (%)																																		7.39208277			64.10224045																				
Oocyte HB heteroplasmy (%)																																		7.84204064			64.66191305																				
Oocyte HB heteroplasmy (%)																																		8.407142632			68.00970104																				
Oocyte HB heteroplasmy (%)																																		10.83237652			69.26601061																				
Oocyte HB heteroplasmy (%)																																		10.86744705			73.06899705																				
Oocyte HB heteroplasmy (%)																																		12.40011158			76.44178384																				
Oocyte HB heteroplasmy (%)																																		15.28784072																							
Oocyte HB heteroplasmy (%)																																		17.36308365																							
Oocyte HB heteroplasmy (%)																																		22.56185168																							
Oocyte HB heteroplasmy (%)																																																									
Oocyte HB heteroplasmy (%)																																																									
																																																									
ov…ovary																																																									
