Reference	LE A624 pup 1	LE A624 pup 2	LE A624 pup 3	LE A620	LE A622	LE A226	LE A223	LE A224	LE A206	LE A382	LE A280	LE A154	LE A155	LE A150	LE A111	LE A75	LE A754	LE A761	LE A762	LE A795	LE A842	LE A839	LE A924	LE A974	LE A934	LE B473	LE B474	LE B521	LE B522	LE B026	LE B028	LE A975	LE B086	LE B554	LE B085	LE B087	LE B553	LE A887	LE A888	LE A889	LE B135	LE B301	LE B555
Oocyte LE heteroplasmy (%)																																	83.70259825	77.97078345									
Oocyte LE heteroplasmy (%)																																	85.56355265	78.22138801									
Oocyte LE heteroplasmy (%)																																	85.98713514	79.78841062									
Oocyte LE heteroplasmy (%)																																	89.05927925	82.30085967									
Oocyte LE heteroplasmy (%)																																	92.27960268	83.11013122									
Oocyte LE heteroplasmy (%)																																	95.45667561	85.83380256									
Oocyte LE heteroplasmy (%)																																		93.12219206									
Oocyte LE heteroplasmy (%)																																											
Oocyte LE heteroplasmy (%)																																											
																																											
ov…ovary																																											
